Temperature,Humidity,Rainfall,Season,SoilType,IrrigationType,LandArea,Region,Crop
19.9,61.2,308.4,Rabi,Alluvial Soil,Flood,1.63,Western Maharashtra,Wheat
25.8,68.3,803.0,Kharif,Black Soil,Drip,1.27,Vidarbha,Cotton
32.6,61.5,651.0,Kharif,Sandy Soil,Sprinkler,3.75,Konkan,Groundnut
26.2,70.6,1337.3,Kharif,Laterite Soil,Flood,4.85,Konkan,Rice
28.1,64.7,943.5,Kharif,Black Soil,Rain-fed,3.47,Vidarbha,Soybean
25.2,57.8,447.1,Rabi,Black Soil,Rain-fed,1.17,Marathwada,Jowar
23.8,53.5,400.0,Rabi,Black Soil,Flood,2.64,Western Maharashtra,Wheat
25.6,70.0,1044.3,Annual,Black Soil,Drip,0.58,Western Maharashtra,Sugarcane
20.7,45.5,406.0,Rabi,Red Soil,Rain-fed,3.13,Western Maharashtra,Chickpea
32.8,56.9,668.5,Kharif,Black Soil,Rain-fed,3.0,Vidarbha,Tur (Pigeon pea)
35.4,78.2,1189.9,Annual,Alluvial Soil,Drip,0.76,Western Maharashtra,Sugarcane
22.2,70.0,911.0,Kharif,Red Soil,Rain-fed,3.2,Marathwada,Soybean
27.5,60.9,696.2,Kharif,Sandy Soil,Sprinkler,2.48,Western Maharashtra,Groundnut
27.8,60.3,642.1,Kharif,Black Soil,Rain-fed,2.28,Marathwada,Cotton
28.9,48.2,668.4,Rabi,Black Soil,Rain-fed,0.78,Marathwada,Jowar
31.8,59.9,530.8,Kharif,Red Soil,Sprinkler,2.29,Western Maharashtra,Groundnut
25.3,53.1,843.9,Kharif,Black Soil,Drip,4.04,Marathwada,Cotton
30.0,68.9,869.6,Kharif,Black Soil,Rain-fed,2.45,Marathwada,Soybean
29.8,44.1,423.0,Kharif,Red Soil,Rain-fed,3.56,Marathwada,Bajra
31.1,67.5,868.9,Kharif,Red Soil,Sprinkler,4.38,Konkan,Groundnut
30.7,57.6,842.3,Kharif,Black Soil,Drip,4.51,Marathwada,Cotton
30.0,63.1,705.8,Rabi,Red Soil,Rain-fed,1.05,Western Maharashtra,Jowar
28.3,58.3,418.6,Rabi,Red Soil,Rain-fed,1.25,Western Maharashtra,Jowar
31.9,69.5,1180.0,Annual,Alluvial Soil,Drip,2.91,Western Maharashtra,Sugarcane
34.2,46.0,455.2,Kharif,Red Soil,Rain-fed,1.96,Marathwada,Bajra
28.4,55.9,477.6,Rabi,Black Soil,Rain-fed,1.17,Western Maharashtra,Jowar
26.2,67.9,886.0,Kharif,Black Soil,Drip,3.84,Marathwada,Cotton
17.5,52.1,341.3,Rabi,Black Soil,Flood,1.63,Western Maharashtra,Wheat
26.8,78.2,933.2,Annual,Black Soil,Drip,3.27,Western Maharashtra,Sugarcane
26.4,53.4,660.0,Rabi,Red Soil,Rain-fed,1.94,Western Maharashtra,Jowar
31.7,57.2,792.3,Kharif,Red Soil,Rain-fed,1.08,Marathwada,Tur (Pigeon pea)
32.0,59.4,461.7,Rabi,Red Soil,Rain-fed,2.41,Marathwada,Jowar
22.3,84.3,1874.5,Kharif,Alluvial Soil,Rain-fed,1.47,Konkan,Rice
20.2,67.0,801.6,Kharif,Black Soil,Rain-fed,1.78,Vidarbha,Soybean
35.7,70.6,1176.3,Annual,Black Soil,Flood,0.6,Western Maharashtra,Sugarcane
25.8,51.6,588.3,Rabi,Black Soil,Rain-fed,1.69,Western Maharashtra,Jowar
28.9,70.5,1813.4,Kharif,Laterite Soil,Rain-fed,1.15,Konkan,Rice
31.5,58.3,907.7,Kharif,Red Soil,Sprinkler,3.79,Konkan,Groundnut
30.4,56.3,796.7,Kharif,Black Soil,Rain-fed,1.28,Marathwada,Tur (Pigeon pea)
28.8,63.8,606.2,Rabi,Red Soil,Rain-fed,4.12,Marathwada,Jowar
26.9,56.6,568.3,Rabi,Red Soil,Rain-fed,0.9,Marathwada,Jowar
31.4,84.0,1056.5,Kharif,Alluvial Soil,Flood,1.79,Konkan,Rice
32.6,54.1,837.8,Kharif,Black Soil,Drip,3.82,Vidarbha,Cotton
26.7,58.9,600.4,Rabi,Red Soil,Rain-fed,2.04,Western Maharashtra,Jowar
28.7,45.9,683.6,Kharif,Black Soil,Rain-fed,2.64,Marathwada,Tur (Pigeon pea)
33.4,56.5,751.0,Kharif,Red Soil,Rain-fed,3.1,Vidarbha,Tur (Pigeon pea)
20.2,66.2,718.5,Kharif,Red Soil,Rain-fed,4.03,Vidarbha,Soybean
21.2,62.2,469.4,Rabi,Alluvial Soil,Flood,3.71,Western Maharashtra,Wheat
34.0,83.8,876.4,Annual,Black Soil,Flood,1.12,Western Maharashtra,Sugarcane
22.1,55.4,349.9,Rabi,Black Soil,Flood,4.95,Western Maharashtra,Wheat
27.3,52.9,791.0,Rabi,Red Soil,Rain-fed,2.46,Western Maharashtra,Jowar
23.5,69.5,881.4,Kharif,Black Soil,Rain-fed,2.87,Vidarbha,Soybean
26.0,52.6,395.4,Kharif,Red Soil,Rain-fed,2.59,Marathwada,Bajra
29.2,68.4,834.6,Annual,Black Soil,Drip,2.3,Western Maharashtra,Sugarcane
34.2,68.5,623.2,Kharif,Black Soil,Rain-fed,4.17,Marathwada,Cotton
26.4,72.2,909.9,Annual,Alluvial Soil,Drip,3.13,Western Maharashtra,Sugarcane
26.7,57.1,818.2,Kharif,Sandy Soil,Sprinkler,0.53,Konkan,Groundnut
29.3,72.0,1133.4,Annual,Alluvial Soil,Flood,4.55,Western Maharashtra,Sugarcane
27.9,75.6,1559.3,Kharif,Alluvial Soil,Flood,1.08,Konkan,Rice
22.2,62.3,942.5,Kharif,Black Soil,Rain-fed,4.92,Marathwada,Soybean
26.2,58.3,816.8,Kharif,Red Soil,Sprinkler,1.87,Konkan,Groundnut
31.7,52.6,709.6,Rabi,Black Soil,Rain-fed,2.7,Western Maharashtra,Jowar
29.5,72.0,1865.2,Kharif,Alluvial Soil,Rain-fed,4.42,Konkan,Rice
24.1,47.9,444.9,Rabi,Red Soil,Rain-fed,1.07,Western Maharashtra,Chickpea
21.5,71.7,747.8,Kharif,Red Soil,Rain-fed,2.44,Marathwada,Soybean
31.8,65.4,816.0,Kharif,Black Soil,Rain-fed,0.8,Marathwada,Cotton
27.8,46.5,630.6,Rabi,Black Soil,Rain-fed,4.12,Marathwada,Jowar
30.9,58.6,540.9,Kharif,Sandy Soil,Rain-fed,3.19,Marathwada,Bajra
20.9,46.8,428.8,Rabi,Black Soil,Rain-fed,3.75,Vidarbha,Chickpea
36.3,80.5,1108.9,Annual,Alluvial Soil,Flood,0.75,Western Maharashtra,Sugarcane
23.3,49.6,649.6,Kharif,Black Soil,Rain-fed,3.63,Marathwada,Tur (Pigeon pea)
27.9,61.8,614.4,Kharif,Black Soil,Drip,0.78,Marathwada,Cotton
22.7,66.1,734.2,Kharif,Red Soil,Rain-fed,0.78,Vidarbha,Soybean
30.3,58.3,729.5,Rabi,Red Soil,Rain-fed,4.93,Marathwada,Jowar
25.2,40.8,445.3,Kharif,Red Soil,Rain-fed,4.05,Marathwada,Bajra
25.5,50.3,702.2,Rabi,Black Soil,Rain-fed,2.98,Marathwada,Jowar
33.8,59.0,676.2,Kharif,Sandy Soil,Rain-fed,4.66,Konkan,Groundnut
33.6,53.4,372.1,Kharif,Sandy Soil,Rain-fed,4.16,Marathwada,Bajra
28.2,51.8,462.0,Kharif,Red Soil,Rain-fed,1.13,Marathwada,Bajra
31.8,48.9,583.4,Rabi,Black Soil,Rain-fed,4.66,Western Maharashtra,Jowar
27.0,63.0,625.7,Kharif,Black Soil,Rain-fed,2.97,Vidarbha,Soybean
28.3,63.3,781.9,Kharif,Black Soil,Rain-fed,1.51,Marathwada,Tur (Pigeon pea)
29.7,79.9,1010.9,Annual,Black Soil,Flood,2.19,Western Maharashtra,Sugarcane
30.5,80.1,1573.0,Kharif,Laterite Soil,Rain-fed,2.68,Konkan,Rice
26.3,60.2,611.9,Rabi,Black Soil,Rain-fed,3.81,Marathwada,Jowar
21.2,56.3,344.5,Rabi,Alluvial Soil,Flood,2.23,Western Maharashtra,Wheat
24.5,56.8,647.7,Kharif,Sandy Soil,Rain-fed,4.6,Konkan,Groundnut
32.9,60.1,776.2,Kharif,Black Soil,Rain-fed,4.87,Vidarbha,Cotton
21.4,59.2,384.5,Rabi,Alluvial Soil,Flood,0.54,Western Maharashtra,Wheat
25.4,58.0,592.0,Kharif,Sandy Soil,Rain-fed,0.75,Western Maharashtra,Groundnut
26.9,59.8,615.5,Kharif,Red Soil,Rain-fed,0.85,Western Maharashtra,Groundnut
31.5,64.3,594.2,Kharif,Red Soil,Sprinkler,3.98,Konkan,Groundnut
28.2,79.1,926.5,Kharif,Laterite Soil,Rain-fed,3.91,Konkan,Rice
31.7,69.0,685.7,Kharif,Sandy Soil,Sprinkler,3.6,Konkan,Groundnut
29.6,50.2,815.6,Kharif,Black Soil,Drip,4.84,Marathwada,Cotton
30.3,45.3,512.5,Kharif,Sandy Soil,Rain-fed,2.01,Marathwada,Bajra
20.4,64.8,339.3,Rabi,Alluvial Soil,Flood,2.5,Western Maharashtra,Wheat
29.8,55.3,490.6,Kharif,Red Soil,Rain-fed,3.89,Marathwada,Bajra
34.7,48.4,553.7,Kharif,Sandy Soil,Rain-fed,4.14,Marathwada,Bajra
23.1,73.6,1190.3,Kharif,Alluvial Soil,Flood,2.54,Konkan,Rice
22.7,63.3,401.3,Rabi,Alluvial Soil,Flood,2.06,Western Maharashtra,Wheat
28.1,73.5,942.8,Kharif,Red Soil,Rain-fed,2.03,Marathwada,Soybean
24.0,84.3,1583.9,Kharif,Laterite Soil,Rain-fed,2.78,Konkan,Rice
24.5,66.5,594.3,Kharif,Red Soil,Rain-fed,4.08,Western Maharashtra,Groundnut
25.7,45.9,767.2,Kharif,Red Soil,Rain-fed,4.06,Marathwada,Tur (Pigeon pea)
34.3,53.5,710.4,Kharif,Black Soil,Rain-fed,4.52,Vidarbha,Tur (Pigeon pea)
19.7,53.8,400.5,Rabi,Alluvial Soil,Flood,1.57,Western Maharashtra,Wheat
29.7,84.5,1681.1,Kharif,Alluvial Soil,Flood,1.62,Konkan,Rice
26.6,64.1,697.4,Kharif,Black Soil,Rain-fed,2.1,Vidarbha,Cotton
27.1,61.0,685.9,Kharif,Black Soil,Rain-fed,3.41,Vidarbha,Soybean
29.4,59.2,434.1,Kharif,Red Soil,Rain-fed,1.07,Marathwada,Bajra
32.3,73.4,912.5,Annual,Alluvial Soil,Drip,4.04,Western Maharashtra,Sugarcane
27.6,80.3,1294.1,Kharif,Alluvial Soil,Rain-fed,2.55,Konkan,Rice
24.3,59.7,739.0,Kharif,Black Soil,Rain-fed,0.53,Marathwada,Tur (Pigeon pea)
23.9,75.6,1897.0,Kharif,Laterite Soil,Flood,4.15,Konkan,Rice
24.0,57.9,798.8,Kharif,Red Soil,Rain-fed,0.71,Western Maharashtra,Groundnut
24.9,55.2,556.8,Kharif,Red Soil,Sprinkler,4.31,Western Maharashtra,Groundnut
33.7,66.7,932.1,Kharif,Red Soil,Rain-fed,4.92,Western Maharashtra,Groundnut
29.5,45.4,506.3,Rabi,Red Soil,Rain-fed,1.64,Western Maharashtra,Jowar
33.6,67.2,857.7,Kharif,Black Soil,Rain-fed,2.92,Marathwada,Cotton
35.9,72.9,1056.2,Annual,Alluvial Soil,Drip,2.83,Western Maharashtra,Sugarcane
30.4,49.1,549.8,Rabi,Red Soil,Rain-fed,2.8,Marathwada,Jowar
17.3,52.6,494.9,Rabi,Alluvial Soil,Flood,3.53,Western Maharashtra,Wheat
25.1,62.4,770.8,Kharif,Black Soil,Rain-fed,3.58,Vidarbha,Soybean
37.9,71.7,1107.4,Annual,Black Soil,Flood,1.79,Western Maharashtra,Sugarcane
27.5,56.0,474.6,Rabi,Red Soil,Rain-fed,1.73,Western Maharashtra,Jowar
23.4,60.9,660.7,Kharif,Red Soil,Rain-fed,4.93,Marathwada,Soybean
26.9,61.4,810.1,Kharif,Red Soil,Rain-fed,3.41,Konkan,Groundnut
30.0,55.9,503.2,Kharif,Red Soil,Sprinkler,4.44,Konkan,Groundnut
25.0,81.7,1480.2,Kharif,Laterite Soil,Flood,2.78,Konkan,Rice
28.0,56.1,729.9,Rabi,Black Soil,Rain-fed,1.95,Western Maharashtra,Jowar
28.1,52.4,703.3,Rabi,Red Soil,Rain-fed,3.77,Marathwada,Jowar
28.2,59.7,659.5,Kharif,Black Soil,Rain-fed,2.75,Vidarbha,Tur (Pigeon pea)
26.2,58.6,508.0,Kharif,Sandy Soil,Rain-fed,3.76,Marathwada,Bajra
25.3,47.1,700.3,Kharif,Red Soil,Rain-fed,2.92,Marathwada,Tur (Pigeon pea)
36.8,76.3,1195.7,Annual,Black Soil,Flood,0.88,Western Maharashtra,Sugarcane
27.6,51.7,626.9,Kharif,Black Soil,Drip,2.23,Marathwada,Cotton
31.6,49.5,675.7,Rabi,Red Soil,Rain-fed,3.9,Western Maharashtra,Jowar
26.2,53.3,391.1,Kharif,Sandy Soil,Rain-fed,0.54,Marathwada,Bajra
17.8,57.4,341.8,Rabi,Black Soil,Flood,1.81,Western Maharashtra,Wheat
29.3,59.6,393.0,Kharif,Sandy Soil,Rain-fed,2.38,Marathwada,Bajra
26.9,65.2,801.3,Kharif,Black Soil,Drip,4.81,Vidarbha,Cotton
28.6,49.3,427.7,Kharif,Red Soil,Rain-fed,1.37,Marathwada,Bajra
19.9,58.2,450.1,Rabi,Alluvial Soil,Flood,3.97,Western Maharashtra,Wheat
23.6,61.8,962.6,Kharif,Red Soil,Rain-fed,1.94,Vidarbha,Soybean
22.5,61.8,754.5,Kharif,Black Soil,Rain-fed,2.07,Vidarbha,Tur (Pigeon pea)
27.9,60.5,874.5,Kharif,Red Soil,Rain-fed,1.72,Marathwada,Soybean
24.8,72.9,1563.9,Kharif,Alluvial Soil,Rain-fed,1.74,Konkan,Rice
27.5,74.9,862.9,Kharif,Black Soil,Rain-fed,2.5,Vidarbha,Soybean
34.2,66.2,685.9,Kharif,Black Soil,Drip,3.67,Marathwada,Cotton
26.5,71.3,1631.6,Kharif,Laterite Soil,Rain-fed,0.98,Konkan,Rice
31.4,65.4,698.7,Kharif,Black Soil,Drip,2.77,Marathwada,Cotton
27.5,72.0,1736.3,Kharif,Laterite Soil,Rain-fed,1.58,Konkan,Rice
30.4,64.0,759.9,Kharif,Black Soil,Rain-fed,2.39,Marathwada,Tur (Pigeon pea)
20.0,64.4,470.8,Rabi,Black Soil,Flood,3.48,Western Maharashtra,Wheat
27.7,79.2,1009.3,Kharif,Laterite Soil,Rain-fed,2.51,Konkan,Rice
20.0,57.9,429.2,Rabi,Black Soil,Rain-fed,2.85,Vidarbha,Chickpea
21.2,45.5,404.2,Rabi,Black Soil,Rain-fed,1.17,Vidarbha,Chickpea
22.9,46.8,489.7,Rabi,Black Soil,Rain-fed,4.24,Vidarbha,Chickpea
25.2,47.6,679.5,Kharif,Black Soil,Rain-fed,0.64,Marathwada,Tur (Pigeon pea)
25.7,58.7,562.0,Rabi,Black Soil,Rain-fed,2.5,Marathwada,Jowar
27.2,53.0,673.9,Kharif,Black Soil,Rain-fed,0.67,Marathwada,Cotton
37.6,78.8,881.9,Annual,Black Soil,Flood,3.17,Western Maharashtra,Sugarcane
32.1,57.0,470.2,Kharif,Sandy Soil,Rain-fed,4.58,Marathwada,Bajra
34.0,70.5,721.9,Annual,Alluvial Soil,Drip,2.07,Western Maharashtra,Sugarcane
20.9,69.9,919.5,Kharif,Red Soil,Rain-fed,2.56,Vidarbha,Soybean
27.0,62.0,403.6,Rabi,Red Soil,Rain-fed,3.15,Marathwada,Jowar
35.8,70.6,819.0,Annual,Alluvial Soil,Drip,1.61,Western Maharashtra,Sugarcane
25.2,66.3,887.5,Kharif,Black Soil,Drip,1.97,Marathwada,Cotton
22.8,48.4,727.1,Kharif,Black Soil,Rain-fed,0.89,Vidarbha,Tur (Pigeon pea)
25.3,58.1,429.2,Rabi,Red Soil,Rain-fed,4.59,Western Maharashtra,Chickpea
20.5,40.2,407.0,Rabi,Black Soil,Rain-fed,1.14,Vidarbha,Chickpea
24.4,59.2,443.6,Rabi,Black Soil,Rain-fed,2.41,Vidarbha,Chickpea
30.8,69.3,944.5,Kharif,Red Soil,Sprinkler,3.73,Western Maharashtra,Groundnut
32.1,83.3,1021.3,Annual,Alluvial Soil,Drip,1.93,Western Maharashtra,Sugarcane
21.4,69.4,982.4,Kharif,Black Soil,Rain-fed,3.34,Marathwada,Soybean
24.5,73.0,998.7,Kharif,Red Soil,Rain-fed,2.59,Marathwada,Soybean
29.7,83.4,747.1,Annual,Alluvial Soil,Flood,2.96,Western Maharashtra,Sugarcane
21.6,47.5,400.2,Rabi,Red Soil,Rain-fed,2.65,Vidarbha,Chickpea
28.9,53.8,578.7,Kharif,Sandy Soil,Rain-fed,4.39,Marathwada,Bajra
27.6,50.1,420.5,Rabi,Red Soil,Rain-fed,3.84,Marathwada,Jowar
29.4,78.8,1767.8,Kharif,Laterite Soil,Flood,1.11,Konkan,Rice
22.6,46.0,449.7,Rabi,Black Soil,Rain-fed,0.85,Western Maharashtra,Chickpea
26.6,56.1,460.1,Rabi,Red Soil,Rain-fed,4.46,Western Maharashtra,Chickpea
18.6,58.8,328.1,Rabi,Alluvial Soil,Flood,3.97,Western Maharashtra,Wheat
28.2,64.4,659.4,Kharif,Red Soil,Rain-fed,1.63,Konkan,Groundnut
27.7,46.1,724.4,Kharif,Red Soil,Rain-fed,3.25,Marathwada,Tur (Pigeon pea)
17.1,63.1,309.1,Rabi,Black Soil,Flood,3.74,Western Maharashtra,Wheat
27.8,66.5,674.4,Kharif,Black Soil,Rain-fed,1.29,Marathwada,Cotton
31.5,48.8,670.5,Rabi,Black Soil,Rain-fed,3.74,Marathwada,Jowar
